displayName,guid,type
"Replicating Directory Changes In Filtered Set","89e95b76-444d-4c62-991a-0facbeda640c","Extended Rights"
"Run Protect Admin Groups Task","7726b9d5-a4b4-4288-a6b2-dce952e80a7f","Extended Rights"
"Manage Optional Features for Active Directory","7c0e2a7c-a419-48e4-a995-10180aad54dd","Extended Rights"
"Allow a DC to create a clone of itself","3e0f7e18-2c7a-4c10-ba82-4d926db99a3e","Extended Rights"
"Validated write to MS DS behavior version","d31a8757-2447-4545-8081-3bb610cacbf2","Extended Rights"
"Validated write to MS DS Additional DNS Host Name","80863791-dbe9-4eb8-837e-7f0ab55d9ac7","Extended Rights"
AutoEnrollment,"a05b8cc2-17bc-4802-a710-e7c15ab866a2","Extended Rights"
"Set Owner of an object during creation.","4125c71f-7fac-4ff0-bcb7-f09a41325286","Extended Rights"
"Bypass the quota restrictions during creation.","88a9933e-e5c8-4f2a-9dd7-2527416b8092","Extended Rights"
"Read secret attributes of objects in a Partition.","084c93a2-620d-4879-a836-f0ae47de0e89","Extended Rights"
"Write secret attributes of objects in a Partition.","94825a8d-b171-4116-8146-1e34d8f54401","Extended Rights"
"Validated write to computer attributes.","9b026da6-0d3c-465c-8bee-5199d7165cba","Extended Rights"
accountExpires,"bf967915-0de6-11d0-a285-00aa003049e2","AD Attribute"
accountNameHistory,"031952ec-3b72-11d2-90cc-00c04fd91ab1","AD Attribute"
aCSAggregateTokenRatePerUser,"7f56127d-5301-11d1-a9c5-0000f80367c1","AD Attribute"
aCSAllocableRSVPBandwidth,"7f561283-5301-11d1-a9c5-0000f80367c1","AD Attribute"
aCSCacheTimeout,"1cb355a1-56d0-11d1-a9c6-0000f80367c1","AD Attribute"
aCSDirection,"7f56127a-5301-11d1-a9c5-0000f80367c1","AD Attribute"
aCSDSBMDeadTime,"1cb355a0-56d0-11d1-a9c6-0000f80367c1","AD Attribute"
aCSDSBMPriority,"1cb3559e-56d0-11d1-a9c6-0000f80367c1","AD Attribute"
aCSDSBMRefresh,"1cb3559f-56d0-11d1-a9c6-0000f80367c1","AD Attribute"
aCSEnableACSService,"7f561287-5301-11d1-a9c5-0000f80367c1","AD Attribute"
aCSEnableRSVPAccounting,"f072230e-aef5-11d1-bdcf-0000f80367c1","AD Attribute"
aCSEnableRSVPMessageLogging,"7f561285-5301-11d1-a9c5-0000f80367c1","AD Attribute"
aCSEventLogLevel,"7f561286-5301-11d1-a9c5-0000f80367c1","AD Attribute"
aCSIdentityName,"dab029b6-ddf7-11d1-90a5-00c04fd91ab1","AD Attribute"
aCSMaxAggregatePeakRatePerUser,"f072230c-aef5-11d1-bdcf-0000f80367c1","AD Attribute"
aCSMaxDurationPerFlow,"7f56127e-5301-11d1-a9c5-0000f80367c1","AD Attribute"
aCSMaxNoOfAccountFiles,"f0722310-aef5-11d1-bdcf-0000f80367c1","AD Attribute"
aCSMaxNoOfLogFiles,"1cb3559c-56d0-11d1-a9c6-0000f80367c1","AD Attribute"
aCSMaxPeakBandwidth,"7f561284-5301-11d1-a9c5-0000f80367c1","AD Attribute"
aCSMaxPeakBandwidthPerFlow,"7f56127c-5301-11d1-a9c5-0000f80367c1","AD Attribute"
aCSMaxSizeOfRSVPAccountFile,"f0722311-aef5-11d1-bdcf-0000f80367c1","AD Attribute"
aCSMaxSizeOfRSVPLogFile,"1cb3559d-56d0-11d1-a9c6-0000f80367c1","AD Attribute"
aCSMaxTokenBucketPerFlow,"81f6e0df-3b90-11d2-90cc-00c04fd91ab1","AD Attribute"
aCSMaxTokenRatePerFlow,"7f56127b-5301-11d1-a9c5-0000f80367c1","AD Attribute"
aCSMaximumSDUSize,"87a2d8f9-3b90-11d2-90cc-00c04fd91ab1","AD Attribute"
aCSMinimumDelayVariation,"9c65329b-3b90-11d2-90cc-00c04fd91ab1","AD Attribute"
aCSMinimumLatency,"9517fefb-3b90-11d2-90cc-00c04fd91ab1","AD Attribute"
aCSMinimumPolicedSize,"8d0e7195-3b90-11d2-90cc-00c04fd91ab1","AD Attribute"
aCSNonReservedMaxSDUSize,"aec2cfe3-3b90-11d2-90cc-00c04fd91ab1","AD Attribute"
aCSNonReservedMinPolicedSize,"b6873917-3b90-11d2-90cc-00c04fd91ab1","AD Attribute"
aCSNonReservedPeakRate,"a331a73f-3b90-11d2-90cc-00c04fd91ab1","AD Attribute"
aCSNonReservedTokenSize,"a916d7c9-3b90-11d2-90cc-00c04fd91ab1","AD Attribute"
aCSNonReservedTxLimit,"1cb355a2-56d0-11d1-a9c6-0000f80367c1","AD Attribute"
aCSNonReservedTxSize,"f072230d-aef5-11d1-bdcf-0000f80367c1","AD Attribute"
aCSPermissionBits,"7f561282-5301-11d1-a9c5-0000f80367c1","AD Attribute"
aCSPolicyName,"1cb3559a-56d0-11d1-a9c6-0000f80367c1","AD Attribute"
aCSPriority,"7f561281-5301-11d1-a9c5-0000f80367c1","AD Attribute"
aCSRSVPAccountFilesLocation,"f072230f-aef5-11d1-bdcf-0000f80367c1","AD Attribute"
aCSRSVPLogFilesLocation,"1cb3559b-56d0-11d1-a9c6-0000f80367c1","AD Attribute"
aCSServiceType,"7f56127f-5301-11d1-a9c5-0000f80367c1","AD Attribute"
aCSTimeOfDay,"7f561279-5301-11d1-a9c5-0000f80367c1","AD Attribute"
aCSTotalNoOfFlows,"7f561280-5301-11d1-a9c5-0000f80367c1","AD Attribute"
aCSServerList,"7cbd59a5-3b90-11d2-90cc-00c04fd91ab1","AD Attribute"
notes,"6d05fb41-246b-11d0-a9c8-00aa006c33ed","AD Attribute"
additionalTrustedServiceNames,"032160be-9824-11d1-aec0-0000f80367c1","AD Attribute"
streetAddress,"f0f8ff84-1191-11d0-a060-00aa006c33ed","AD Attribute"
addressBookRoots,"f70b6e48-06f4-11d2-aa53-00c04fd7d83a","AD Attribute"
addressEntryDisplayTable,"5fd42461-1262-11d0-a060-00aa006c33ed","AD Attribute"
addressEntryDisplayTableMSDOS,"5fd42462-1262-11d0-a060-00aa006c33ed","AD Attribute"
homePostalAddress,"16775781-47f3-11d1-a9c3-0000f80367c1","AD Attribute"
addressSyntax,"5fd42463-1262-11d0-a060-00aa006c33ed","AD Attribute"
addressType,"5fd42464-1262-11d0-a060-00aa006c33ed","AD Attribute"
adminContextMenu,"553fd038-f32e-11d0-b0bc-00c04fd8dca6","AD Attribute"
adminCount,"bf967918-0de6-11d0-a285-00aa003049e2","AD Attribute"
adminDescription,"bf967919-0de6-11d0-a285-00aa003049e2","AD Attribute"
adminDisplayName,"bf96791a-0de6-11d0-a285-00aa003049e2","AD Attribute"
adminMultiselectPropertyPages,"18f9b67d-5ac6-4b3b-97db-d0a406afb7ba","AD Attribute"
adminPropertyPages,"52458038-ca6a-11d0-afff-0000f80367c1","AD Attribute"
allowedAttributes,"9a7ad940-ca53-11d1-bbd0-0080c76670c0","AD Attribute"
allowedAttributesEffective,"9a7ad941-ca53-11d1-bbd0-0080c76670c0","AD Attribute"
allowedChildClasses,"9a7ad942-ca53-11d1-bbd0-0080c76670c0","AD Attribute"
allowedChildClassesEffective,"9a7ad943-ca53-11d1-bbd0-0080c76670c0","AD Attribute"
altSecurityIdentities,"00fbf30c-91fe-11d1-aebc-0000f80367c1","AD Attribute"
aNR,"45b01500-c419-11d1-bbc9-0080c76670c0","AD Attribute"
appSchemaVersion,"96a7dd65-9118-11d1-aebc-0000f80367c1","AD Attribute"
applicationName,"dd712226-10e4-11d0-a05f-00aa006c33ed","AD Attribute"
appliesTo,"8297931d-86d3-11d0-afda-00c04fd930c9","AD Attribute"
assetNumber,"ba305f75-47e3-11d0-a1a6-00c04fd930c9","AD Attribute"
assistant,"0296c11c-40da-11d1-a9c0-0000f80367c1","AD Attribute"
assocNTAccount,"398f63c0-ca60-11d1-bbd1-0000f81f10c0","AD Attribute"
associatedDomain,"3320fc38-c379-4c17-a510-1bdf6133c5da","AD Attribute"
associatedName,"f7fbfc45-85ab-42a4-a435-780e62f7858b","AD Attribute"
attributeCertificateAttribute,"fa4693bb-7bc2-4cb9-81a8-c99c43b7905e","AD Attribute"
attributeDisplayNames,"cb843f80-48d9-11d1-a9c3-0000f80367c1","AD Attribute"
attributeID,"bf967922-0de6-11d0-a285-00aa003049e2","AD Attribute"
attributeSecurityGUID,"bf967924-0de6-11d0-a285-00aa003049e2","AD Attribute"
attributeSyntax,"bf967925-0de6-11d0-a285-00aa003049e2","AD Attribute"
attributeTypes,"9a7ad944-ca53-11d1-bbd0-0080c76670c0","AD Attribute"
audio,"d0e1d224-e1a0-42ce-a2da-793ba5244f35","AD Attribute"
auditingPolicy,"6da8a4fe-0e52-11d0-a286-00aa003049e2","AD Attribute"
authenticationOptions,"bf967928-0de6-11d0-a285-00aa003049e2","AD Attribute"
authorityRevocationList,"1677578d-47f3-11d1-a9c3-0000f80367c1","AD Attribute"
auxiliaryClass,"bf96792c-0de6-11d0-a285-00aa003049e2","AD Attribute"
badPasswordTime,"bf96792d-0de6-11d0-a285-00aa003049e2","AD Attribute"
badPwdCount,"bf96792e-0de6-11d0-a285-00aa003049e2","AD Attribute"
birthLocation,"1f0075f9-7e40-11d0-afd6-00c04fd930c9","AD Attribute"
bridgeheadServerListBL,"d50c2cdb-8951-11d1-aebc-0000f80367c1","AD Attribute"
bridgeheadTransportList,"d50c2cda-8951-11d1-aebc-0000f80367c1","AD Attribute"
buildingName,"f87fa54b-b2c5-4fd7-88c0-daccb21d93c5","AD Attribute"
builtinCreationTime,"bf96792f-0de6-11d0-a285-00aa003049e2","AD Attribute"
builtinModifiedCount,"bf967930-0de6-11d0-a285-00aa003049e2","AD Attribute"
businessCategory,"bf967931-0de6-11d0-a285-00aa003049e2","AD Attribute"
bytesPerMinute,"ba305f76-47e3-11d0-a1a6-00c04fd930c9","AD Attribute"
cACertificate,"bf967932-0de6-11d0-a285-00aa003049e2","AD Attribute"
cACertificateDN,"963d2740-48be-11d1-a9c3-0000f80367c1","AD Attribute"
cAConnect,"963d2735-48be-11d1-a9c3-0000f80367c1","AD Attribute"
cAUsages,"963d2738-48be-11d1-a9c3-0000f80367c1","AD Attribute"
cAWEBURL,"963d2736-48be-11d1-a9c3-0000f80367c1","AD Attribute"
