original_file_name,description
settingsynchost.exe,Host Process for Setting Synchronization
sqldumper.exe,Debugging utility included with Microsoft SQL.
sqlps.exe,"Tool included with Microsoft SQL Server that loads SQL Server cmdlets. Microsoft SQL Server\100 and 110 are Powershell v2. Microsoft SQL Server\120 and 130 are Powershell version 4. Replaced by SQLToolsPS.exe in SQL Server 2016, but will be included with installation for compatability reasons."
sqltoolsps.exe,Tool included with Microsoft SQL that loads SQL Server cmdlts. A replacement for sqlps.exe. Successor to sqlps.exe in SQL Server 2016+.
stordiag.exe,Storage diagnostic tool
syncappvpublishingserver.exe,Used by App-v to get App-v server lists
tar.exe,Used by Windows to extract and create archives.
testwindowremoteagent.exe,TestWindowRemoteAgent.exe is the command-line tool to establish RPC
ttdinject.exe,Used by Windows 1809 and newer to Debug Time Travel (Underlying call of tttracer.exe)
tttracer.exe,Used by Windows 1809 and newer to Debug Time Travel
unregmp2.exe,Microsoft Windows Media Player Setup Utility
vbc.exe,Binary file used for compile vbs code
verclsid.exe,Used to verify a COM object before it is instantiated by Windows Explorer
visualuiaverifynative.exe,A Windows SDK binary for manual and automated testing of Microsoft UI Automation implementation and controls.
vsdiagnostics.exe,Command-line tool used for performing diagnostics.
vshadow.exe,VShadow is a command-line tool that can be used to create and manage volume shadow copies.
vsiisexelauncher.exe,Binary will execute specified binary. Part of VS/VScode installation.
vsjitdebugger.exe,Just-In-Time (JIT) debugger included with Visual Studio
vsls-agent.exe,Agent for Visual Studio Live Share (Code Collaboration)
vstest.console.exe,VSTest.Console.exe is the command-line tool to run tests
wab.exe,Windows address book manager
wbadmin.exe,Windows Backup Administration utility
wfc.exe,The Workflow Command-line Compiler tool is included with the Windows Software Development Kit (SDK).
winproj.exe,Microsoft Project Executable
winword.exe,Microsoft Office binary
wlrmdr.exe,Windows Logon Reminder executable
wmic.exe,The WMI command-line (WMIC) utility provides a command-line interface for WMI
workfolders.exe,Work Folders
wscript.exe,Used by Windows to execute scripts
wsreset.exe,Used to reset Windows Store settings according to its manifest file
wuauclt.exe,Windows Update Client
xwizard.exe,Execute custom class that has been added to the registry or download a file with Xwizard.exe
