driver_name,driver_description,is_driver
*\NalDrv.sys,https://gist.github.com/k4nfr3/af970e7facb09195e56f2112e1c9549c,TRUE
*\DirectIo32.sys,https://github.com/eset/vulnerability-disclosures/blob/master/CVE-2020-15480/CVE-2020-15480.md,TRUE
*\DirectIo64.sys,https://github.com/eset/vulnerability-disclosures/blob/master/CVE-2020-15480/CVE-2020-15480.md,TRUE
*\AsUpIO64.sys,https://github.com/eclypsium/Screwed-Drivers/blob/master/DRIVERS.md,TRUE
*\AsrDrv102.sys,https://github.com/eclypsium/Screwed-Drivers/blob/master/DRIVERS.md,TRUE
*\AsrDrv103.sys,https://github.com/eclypsium/Screwed-Drivers/blob/master/DRIVERS.md,TRUE
*\BSMEMx64.sys,https://github.com/eclypsium/Screwed-Drivers/blob/master/DRIVERS.md,TRUE
*\BSMIXP64.sys,https://github.com/eclypsium/Screwed-Drivers/blob/master/DRIVERS.md,TRUE
*\BSMIx64.sys,https://github.com/eclypsium/Screwed-Drivers/blob/master/DRIVERS.md,TRUE
*\BS_Flash64.sys,https://github.com/eclypsium/Screwed-Drivers/blob/master/DRIVERS.md,TRUE
*\BS_HWMIO64_W10.sys,https://github.com/eclypsium/Screwed-Drivers/blob/master/DRIVERS.md,TRUE
*\BS_HWMIo64.sys,https://github.com/eclypsium/Screwed-Drivers/blob/master/DRIVERS.md,TRUE
*\BS_I2c64.sys,https://github.com/eclypsium/Screwed-Drivers/blob/master/DRIVERS.md,TRUE
*\GVCIDrv64.sys,https://github.com/eclypsium/Screwed-Drivers/blob/master/DRIVERS.md,TRUE
*\HwOs2Ec10x64.sys,https://github.com/eclypsium/Screwed-Drivers/blob/master/DRIVERS.md,TRUE
*\HwOs2Ec7x64.sys,https://github.com/eclypsium/Screwed-Drivers/blob/master/DRIVERS.md,TRUE
*\NBIOLib_X64.sys,https://github.com/eclypsium/Screwed-Drivers/blob/master/DRIVERS.md,TRUE
*\NCHGBIOS2x64.SYS,https://github.com/eclypsium/Screwed-Drivers/blob/master/DRIVERS.md,TRUE
