library,islibrary
lockhostingframework.dll,TRUE
loadperf.dll,TRUE
linkinfo.dll,TRUE
licensingdiagspp.dll,TRUE
licensemanagerapi.dll,TRUE
ktmw32.dll,TRUE
ksuser.dll,TRUE
kdstub.dll,TRUE
joinutil.dll,TRUE
iumsdk.dll,TRUE
iumbase.dll,TRUE
isv.exe_rsaenh.dll,TRUE
iscsium.dll,TRUE
iscsidsc.dll,TRUE
iri.dll,TRUE
iphlpapi.dll,TRUE
inproclogger.dll,TRUE
ifsutil.dll,TRUE
ifmon.dll,TRUE
iertutil.dll,TRUE
iedkcs32.dll,TRUE
ieadvpack.dll,TRUE
idstore.dll,TRUE
icmp.dll,TRUE
httpapi.dll,TRUE
hnetmon.dll,TRUE
hid.dll,TRUE
gpapi.dll,TRUE
getuname.dll,TRUE
fxstiff.dll,TRUE
fxsst.dll,TRUE
fxsapi.dll,TRUE
fwpuclnt.dll,TRUE
fwpolicyiomgr.dll,TRUE
fwcfg.dll,TRUE
fwbase.dll,TRUE
fvewiz.dll,TRUE
fveskybackup.dll,TRUE
fveapi.dll,TRUE
framedynos.dll,TRUE
fltlib.dll,TRUE
flightsettings.dll,TRUE
firewallapi.dll,TRUE
fhsvcctl.dll,TRUE
fhcfg.dll,TRUE
feclient.dll,TRUE
fddevquery.dll,TRUE
faultrep.dll,TRUE
fastprox.dll,TRUE
explorerframe.dll,TRUE
execmodelproxy.dll,TRUE
esent.dll,TRUE
efsutil.dll,TRUE
efsadu.dll,TRUE
edputil.dll,TRUE
edgeiso.dll,TRUE
eappprxy.dll,TRUE
eappcfg.dll,TRUE
dynamoapi.dll,TRUE
dxva2.dll,TRUE
dxgi.dll,TRUE
dxcore.dll,TRUE
dwrite.dll,TRUE
dwmcore.dll,TRUE
dwmapi.dll,TRUE
dusmapi.dll,TRUE
duser.dll,TRUE
dui70.dll,TRUE
dsrole.dll,TRUE
dsreg.dll,TRUE
dsprop.dll,TRUE
dsparse.dll,TRUE
dsclient.dll,TRUE
drvstore.dll,TRUE
drprov.dll,TRUE
dpx.dll,TRUE
dot3cfg.dll,TRUE
dot3api.dll,TRUE
dnsapi.dll,TRUE
dmxmlhelputils.dll,TRUE
dmpushproxy.dll,TRUE
dmprocessxmlfiltered.dll,TRUE
dmoleaututils.dll,TRUE
dmiso8601utils.dll,TRUE
dmenterprisediagnostics.dll,TRUE
dmenrollengine.dll,TRUE
dmcommandlineutils.dll,TRUE
dmcmnutils.dll,TRUE
dmcfgutils.dll,TRUE
dismcore.dll,TRUE
dismapi.dll,TRUE
directmanipulation.dll,TRUE
dhcpcsvc6.dll,TRUE
dhcpcsvc.dll,TRUE
dhcpcmonitor.dll,TRUE
devrtl.dll,TRUE
devobj.dll,TRUE
devicepairing.dll,TRUE
devicecredential.dll,TRUE
deviceassociation.dll,TRUE
desktopshellext.dll,TRUE
defragproxy.dll,TRUE
dcomp.dll,TRUE
dcntel.dll,TRUE
dbghelp.dll,TRUE
dbgcore.dll,TRUE
davclnt.dll,TRUE
dataexchange.dll,TRUE
d3dcompiler_47.dll,TRUE
d3d9.dll,TRUE
d3d12.dll,TRUE
d3d11.dll,TRUE
d3d10warp.dll,TRUE
d3d10core.dll,TRUE
d3d10_1core.dll,TRUE
d3d10_1.dll,TRUE
d3d10.dll,TRUE
d2d1.dll,TRUE
cscui.dll,TRUE
cscobj.dll,TRUE
cscapi.dll,TRUE
cryptxml.dll,TRUE
cryptui.dll,TRUE
cryptsp.dll,TRUE
cryptdll.dll,TRUE
cryptbase.dll,TRUE
credui.dll,TRUE
coreuicomponents.dll,TRUE
coremessaging.dll,TRUE
coredplus.dll,TRUE
connect.dll,TRUE
configmanager2.dll,TRUE
comdlg32.dll,TRUE
colorui.dll,TRUE
coloradapterclient.dll,TRUE
cmutil.dll,TRUE
cmpbk32.dll,TRUE
clusapi.dll,TRUE
clipc.dll,TRUE
cldapi.dll,TRUE
certenroll.dll,TRUE
certcli.dll,TRUE
cabview.dll,TRUE
cabinet.dll,TRUE
bootux.dll,TRUE
bootmenuux.dll,TRUE
bderepair.dll,TRUE
bcrypt.dll,TRUE
bcp47mrm.dll,TRUE
bcp47langs.dll,TRUE
bcd.dll,TRUE
batmeter.dll,TRUE
avrt.dll,TRUE
authz.dll,TRUE
authfwcfg.dll,TRUE
auditpolcore.dll,TRUE
audioses.dll,TRUE
atl.dll,TRUE
archiveint.dll,TRUE
appxdeploymentclient.dll,TRUE
appxalluserstore.dll,TRUE
appvpolicy.dll,TRUE
applicationframe.dll,TRUE
apphelp.dll,TRUE
aepic.dll,TRUE
adsldpc.dll,TRUE
activeds.dll,TRUE
amsi.dll,TRUE
