filename,systemFile
immersivetpmvscmgrsvr.exe,true
IMTCLNWZ.EXE,true
IMTCPROP.exe,true
InfDefaultInstall.exe,true
InputSwitchToastHandler.exe,true
InstallAgent.exe,true
InstallAgentUserBroker.exe,true
instnm.exe,true
iotstartup.exe,true
ipconfig.exe,true
iscsicli.exe,true
iscsicpl.exe,true
isoburn.exe,true
klist.exe,true
ksetup.exe,true
ktmutil.exe,true
ktpass.exe,true
label.exe,true
LanguageComponentsInstallerComHandler.exe,true
LaunchTM.exe,true
LaunchWinApp.exe,true
LbfoAdmin.exe,true
LegacyNetUXHost.exe,true
LicenseManagerShellext.exe,true
licensingdiag.exe,true
LicensingUI.exe,true
LocationNotificationWindows.exe,true
Locator.exe,true
LockAppHost.exe,true
LockScreenContentServer.exe,true
lodctr.exe,true
logagent.exe,true
logman.exe,true
logoff.exe,true
LogonUI.exe,true
lpkinstall.exe,true
lpksetup.exe,true
lpremove.exe,true
LsaIso.exe,true
lsass.exe,true
Magnify.exe,true
makecab.exe,true
manage-bde.exe,true
mavinject.exe,true
MbaeParserTask.exe,true
mblctr.exe,true
MBR2GPT.EXE,true
mcbuilder.exe,true
MDEServer.exe,true
MDMAgent.exe,true
MDMAppInstaller.exe,true
MdmDiagnosticsTool.exe,true
MdRes.exe,true
MdSched.exe,true
mfpmp.exe,true
Microsoft.Uev.CscUnpinTool.exe,true
Microsoft.Uev.SyncController.exe,true
microsoft.windows.softwarelogo.showdesktop.exe,true
MicrosoftEdgeBCHost.exe,true
MicrosoftEdgeCP.exe,true
MicrosoftEdgeDevTools.exe,true
MicrosoftEdgeSH.exe,true
mighost.exe,true
MigRegDB.exe,true
mmc.exe,true
mmgaserver.exe,true
mobsync.exe,true
mofcomp.exe,true
mountvol.exe,true
MoUsoCoreWorker.exe,true
mpnotify.exe,true
MpSigStub.exe,true
MRINFO.EXE,true
MRT-KB890830.exe,true
MRT.exe,true
MSchedExe.exe,true
msconfig.exe,true
msdt.exe,true
msdtc.exe,true
msfeedssync.exe,true
msg.exe,true
mshta.exe,true
msiexec.exe,true
msinfo32.exe,true
msoobe.exe,true
mspaint.exe,true
msra.exe,true
MsSpellCheckingHost.exe,true
mstsc.exe,true
mtstocom.exe,true
MuiUnattend.exe,true
MultiDigiMon.exe,true
MusNotification.exe,true
MusNotificationUx.exe,true
MusNotifyIcon.exe,true
Narrator.exe,true
nbtstat.exe,true
ndadmin.exe,true
NDKPing.exe,true
net.exe,true
net1.exe,true
netbtugc.exe,true
netcfg.exe,true
NetCfgNotifyObjectHost.exe,true
netdom.exe,true
NetEvtFwdr.exe,true
NetHost.exe,true
netiougc.exe,true
Netplwiz.exe,true
netsh.exe,true
NETSTAT.EXE,true
newdev.exe,true
NgcIso.exe,true
nltest.exe,true
nmbind.exe,true
nmscrub.exe,true
notepad.exe,true
nslookup.exe,true
ntoskrnl.exe,true
ntprint.exe,true
nvspinfo.exe,true
odbcad32.exe,true
odbcconf.exe,true
ofdeploy.exe,true
omadmclient.exe,true
omadmprc.exe,true
OneDriveSetup.exe,true
oobeldr.exe,true
openfiles.exe,true
OpenWith.exe,true
OposHost.exe,true
OptionalFeatures.exe,true
osk.exe,true
pacjsworker.exe,true
PackagedCWALauncher.exe,true
PackageInspector.exe,true
PasswordOnWakeSettingFlyout.exe,true
PATHPING.EXE,true
pcalua.exe,true
pcaui.exe,true
pcwrun.exe,true
PerceptionSimulationInput.exe,true
PerceptionSimulationService.exe,true
perfhost.exe,true
perfmon.exe,true
phoneactivate.exe,true
PickerHost.exe,true
PinEnrollmentBroker.exe,true
PING.EXE,true
PkgMgr.exe,true
PktMon.exe,true
plasrv.exe,true
PnPUnattend.exe,true
pnputil.exe,true
poqexec.exe,true
pospaymentsworker.exe,true
powercfg.exe,true
powershell_ise.exe,true
powershell.exe,true
PresentationHost.exe,true
PresentationSettings.exe,true
prevhost.exe,true
print.exe,true
PrintBrm.exe,true
PrintBrmEngine.exe,true
PrintBrmUi.exe,true
PrintDialogHost.exe,true
PrintDialogHost3D.exe,true
printfilterpipelinesvc.exe,true
PrintIsolationHost.exe,true
printui.exe,true
proquota.exe,true
provlaunch.exe,true
provtool.exe,true
ProximityUxHost.exe,true
prproc.exe,true
psr.exe,true
pwlauncher.exe,true
qappsrv.exe,true
qprocess.exe,true
query.exe,true
quickassist.exe,true
quser.exe,true
qwinsta.exe,true
rasautou.exe,true
rasdial.exe,true
raserver.exe,true
rasphone.exe,true
rdpclip.exe,true
rdpinit.exe,true
rdpinput.exe,true
RdpSa.exe,true
RdpSaProxy.exe,true
RdpSaUacHelper.exe,true
rdpshell.exe,true
rdpsign.exe,true
rdrleakdiag.exe,true
RDSPnf.exe,true
RDVGHelper.exe,true
ReAgentc.exe,true
recdisc.exe,true
recover.exe,true
RecoveryDrive.exe,true
refsutil.exe,true
reg.exe,true
regedit.exe,true
regedt32.exe,true
regini.exe,true
Register-CimProvider.exe,true
regsvr32.exe,true
rekeywiz.exe,true
relog.exe,true
RelPost.exe,true
RemoteAppLifetimeManager.exe,true
RemoteFXvGPUDisablement.exe,true
RemotePosWorker.exe,true
repair-bde.exe,true
replace.exe,true
reset.exe,true
ResetEngine.exe,true
resmon.exe,true
RMActivate_isv.exe,true
RMActivate_ssp_isv.exe,true
RMActivate_ssp.exe,true
RMActivate.exe,true
RmClient.exe,true
rmttpmvscmgrsvr.exe,true
Robocopy.exe,true
ROUTE.EXE,true
RpcPing.exe,true
rrinstaller.exe,true
rsopprov.exe,true
rstrui.exe,true
runas.exe,true
rundll32.exe,true
runexehelper.exe,true
RunLegacyCPLElevated.exe,true
runonce.exe,true
RuntimeBroker.exe,true
rwinsta.exe,true
sacsess.exe,true
sc.exe,true
schtasks.exe,true
scp.exe,true
scrcons.exe,true
ScriptRunner.exe,true
sdbinst.exe,true
sdchange.exe,true
sdclt.exe,true
sdiagnhost.exe,true
SearchFilterHost.exe,true
SearchIndexer.exe,true
SearchProtocolHost.exe,true
SecEdit.exe,true
secinit.exe,true
securekernel.exe,true
SecurityHealthHost.exe,true
SecurityHealthService.exe,true
SecurityHealthSystray.exe,true
SensorDataService.exe,true
ServerManager.exe,true
ServerManagerLauncher.exe,true
services.exe,true
sessionmsg.exe,true
sethc.exe,true
setres.exe,true
setspn.exe,true
SettingSyncHost.exe,true
setup16.exe,true
setupcl.exe,true
setupugc.exe,true
setx.exe,true
sfc.exe,true
sftp.exe,true
SgrmBroker.exe,true
SgrmLpac.exe,true
shrpubw.exe,true
shutdown.exe,true
sigverif.exe,true
SIHClient.exe,true
sihost.exe,true
SlideToShutDown.exe,true
slui.exe,true
smartscreen.exe,true
SmartScreenSettings.exe,true
smss.exe,true
SndVol.exe,true
SnippingTool.exe,true
snmptrap.exe,true
sort.exe,true
SpaceAgent.exe,true
spaceman.exe,true
SpatialAudioLicenseSrv.exe,true
Spectrum.exe,true
SpeechModelDownload.exe,true
SpeechRuntime.exe,true
SpeechUXWiz.exe,true
spoolsv.exe,true
SppExtComObj.Exe,true
sppsvc.exe,true
srdelayed.exe,true
SrTasks.exe,true
stordiag.exe,true
subst.exe,true
svchost.exe,true
sxstrace.exe,true
SyncAppvPublishingServer.exe,true
SyncHost.exe,true
syskey.exe,true
sysprep.exe,true
SysResetErr.exe,true
systeminfo.exe,true
SystemPropertiesAdvanced.exe,true
SystemPropertiesComputerName.exe,true
SystemPropertiesDataExecutionPrevention.exe,true
SystemPropertiesHardware.exe,true
SystemPropertiesPerformance.exe,true
