handler,ishandler
"*outlookcal:*",TRUE
"*outlookmail:*",TRUE
"*read:*",TRUE
"*vscode:*",TRUE
"*vsls:*",TRUE
"*vstfs:*",TRUE
"*vsweb:*",TRUE
"*windows-feedback:*",TRUE
"*windowsdefender:*",TRUE
"*xboxliveapp-1297287741:*",TRUE
"*zune:*",TRUE
"*SecureBrowser.security.getDeviceInfo:*",TRUE
"*SecureBrowser.security.getMACAddress:*",TRUE
"*SecureBrowser.security.examineProcessList:*",TRUE
"*SecureBrowser.security.isRemoteSession:*",TRUE
"*SecureBrowser.security.isVMSession:*",TRUE
"*JavaScript:*",TRUE
"*vbscript:*",TRUE
"*about:*",TRUE
"*ms-its:*",TRUE
"*its:*",TRUE
"*mk:@MSITStore:*",TRUE
